label,precision,recall,f1
0,0.5176470588235295,0.40794701986754967,0.4562962962962963
1,0.6933797909407665,0.805668016194332,0.7453183520599251
2,0.4732142857142857,0.26903553299492383,0.34304207119741104
3,0.3986013986013986,0.16379310344827586,0.2321792260692464
4,0.3125,0.04411764705882353,0.07731958762886598
5,0.2692307692307692,0.02702702702702703,0.04912280701754387
6,0.8881789137380192,0.86875,0.8783570300157977
7,0.5986842105263158,0.3699186991869919,0.45728643216080406
8,0.7109375,0.7844827586206896,0.7459016393442625
9,0.6413043478260869,0.36419753086419754,0.4645669291338582
10,0.5362318840579711,0.6607142857142857,0.5920000000000001
11,0.48951048951048953,0.19662921348314608,0.280561122244489
12,0.46601941747572817,0.3404255319148936,0.3934426229508196
13,0.45560747663551404,0.8499377334993773,0.5932203389830509
